order_id,customer_id,customer_name,product,quantity,unit_price,order_date,status,country
1,82,Justin Oneill,Laptop,1,1114.91,2025-11-20,pending,DE
2,18,Brittney Mann,Laptop,9,139.54,2026-03-13,,GR
3,4,Samantha Small,Laptop,4,356.66,2025-09-23,completed,
4,26,William Perry,Headset,7,338.46,2025-11-18,cancelled,GR
5,98,Daniel Baker,Mouse,7,516.97,2026-06-20,pending,DE
6,98,Eric Howard,Monitor,2,148.19,2026-02-22,completed,IT
7,45,Christopher Butler,Headset,5,1212.62,2026-07-03,,
8,16,Amanda Harvey,Keyboard,2,832.54,2026-06-03,cancelled,
9,25,Andrew White,Laptop,1,995.28,2025-09-01,cancelled,GR
10,30,Tyler Hunter,Laptop,7,424.18,2026-05-16,cancelled,DE
11,48,Kayla Nelson DDS,Monitor,4,1008.56,2025-08-30,completed,
12,82,Daniel Hardy,Mouse,9,1096.4,2025-08-09,pending,FR
13,49,Nicole Leonard,Monitor,9,337.23,2025-11-08,cancelled,GR
14,30,Scott Johnston,Laptop,6,607.74,2026-03-18,completed,DE
15,73,Dean Hoffman,Monitor,4,986.6,2026-07-07,,FR
16,19,Angela Anderson,Monitor,3,377.47,2026-04-15,cancelled,
17,55,Robert Jones,Headset,7,549.37,2026-05-21,pending,
18,64,Stacey Lee,Laptop,1,1293.04,2025-08-11,pending,DE
19,88,Jennifer Maddox,Keyboard,10,104.66,2025-12-03,,
20,60,Debra Wilson,Headset,5,1456.91,2026-06-17,completed,GR
21,88,Dr. Steven Deleon,Headset,5,1155.21,2025-11-06,cancelled,GR
22,38,Sarah Reed,Keyboard,3,686.05,2025-11-14,cancelled,
23,98,Lindsay Mahoney,Mouse,9,1369.82,2025-12-15,cancelled,
24,78,Selena Jenkins,Mouse,3,567.13,2026-02-03,pending,
25,100,Jose Zuniga,Headset,1,902.43,2025-08-11,,GR
26,15,Mrs. Brittany Sosa,Monitor,5,366.78,2026-03-04,pending,
27,11,Sarah Ramirez,Laptop,8,1225.87,2026-04-15,pending,DE
28,85,Barbara Molina,Keyboard,9,256.04,2026-07-13,,DE
29,70,Brad Burns,Mouse,5,604.5,2026-07-15,cancelled,FR
30,67,Amber Wright,Keyboard,2,379.38,2026-02-26,completed,IT
31,3,Jason Mccoy,Headset,9,352.87,2025-09-11,pending,GR
32,10,Ashley Davis,Laptop,4,110.43,2026-04-13,completed,IT
33,10,Robert Martinez,Headset,4,424.93,2026-06-27,,DE
34,70,Karen Smith,Mouse,10,868.56,2025-11-01,pending,FR
35,53,Jason Martin,Mouse,2,154.43,2026-01-10,,IT
36,55,Joseph White,Keyboard,8,1297.12,2025-12-30,completed,GR
37,8,Amy Figueroa,Keyboard,6,1202.88,2026-05-06,completed,DE
38,25,Mrs. Madison Williams,Mouse,9,678.43,2026-05-25,,DE
39,36,Brittany White,Keyboard,4,1312.98,2026-06-20,completed,FR
40,71,Michelle Lewis,Laptop,1,981.7,2025-09-19,completed,GR
41,97,Evan Sanchez,Mouse,3,615.56,2025-09-06,,DE
42,52,April Ellison,Laptop,3,574.67,2026-03-31,,IT
43,59,Anne Carlson,Monitor,7,1047.92,2025-09-27,,DE
44,25,Tracy Kane,Monitor,4,1453.38,2026-04-18,completed,IT
45,8,Sonya Duran,Laptop,10,720.41,2026-04-13,pending,GR
46,66,William Pugh,Laptop,3,112.1,2025-10-09,completed,DE
47,52,Jill Pham,Laptop,10,376.86,2025-12-14,completed,
48,11,Elizabeth Hernandez,Keyboard,10,852.19,2026-06-09,cancelled,IT
49,27,Elizabeth Travis,Monitor,4,405.77,2026-05-05,pending,IT
50,59,Joseph Stephens,Monitor,2,23.88,2025-09-17,completed,GR
51,69,Kelsey Nicholson,Mouse,9,405.15,2025-12-23,cancelled,GR
52,32,Christian Swanson,Monitor,5,245.04,2026-07-04,cancelled,
53,84,Joseph Reed,Headset,1,1005.12,2025-10-03,cancelled,GR
54,18,Ms. Karen Robles DDS,Monitor,2,1335.67,2026-06-14,pending,IT
55,37,James Rogers,Headset,4,1079.24,2025-10-05,pending,IT
56,65,Justin Phillips,Keyboard,5,1358.95,2025-11-25,completed,GR
57,82,Christina Mcknight,Keyboard,5,75.69,2025-10-25,cancelled,DE
58,82,Kristine Mercer,Monitor,3,1114.43,2026-03-27,,
59,2,Julie Poole MD,Laptop,2,1418.13,2026-06-28,pending,
60,5,Patricia Nguyen,Monitor,10,833.26,2025-12-30,,DE
61,6,Renee Gonzalez,Monitor,6,1349.48,2026-04-10,completed,IT
62,27,Angela Villanueva,Mouse,2,536.98,2026-04-27,,
63,96,Kristi Clark,Mouse,4,1298.26,2026-01-09,pending,FR
64,4,Nancy Gibson,Mouse,6,1175.76,2025-08-26,,DE
65,35,Arthur Bright,Mouse,2,579.99,2026-05-22,completed,FR
66,29,Michael Robinson,Mouse,8,530.99,2026-04-16,pending,DE
67,4,Willie Hill,Mouse,7,499.11,2026-01-19,completed,IT
68,45,Anna Cruz,Headset,7,1022.48,2026-01-09,cancelled,GR
69,15,Clayton Martinez,Monitor,3,875.08,2025-12-08,cancelled,GR
70,14,Jennifer Curry,Headset,7,525.07,2025-08-18,cancelled,FR
71,78,Michael Allen,Headset,2,583.94,2025-08-20,pending,IT
72,6,Andrea Roberts,Keyboard,1,784.68,2025-10-01,pending,IT
73,56,Daniel Miller,Laptop,6,938.5,2026-03-20,completed,IT
74,65,Andrew Gilbert,Monitor,7,496.01,2025-11-27,cancelled,
75,17,Margaret Johnson,Mouse,7,1000.74,2025-12-22,,DE
76,79,Daniel Gilbert,Headset,5,615.05,2026-05-01,completed,IT
77,37,Zachary Wilson,Mouse,7,1180.78,2026-05-05,cancelled,FR
78,57,Angela Small,Keyboard,4,771.65,2025-12-14,pending,GR
79,37,Brenda Dickerson,Headset,10,509.43,2026-06-07,pending,IT
80,29,Angelica Fisher,Mouse,3,46.39,2026-03-25,pending,FR
81,79,Julie Berry,Laptop,8,627.52,2026-04-25,pending,FR
82,64,Laura Clayton,Keyboard,4,229.88,2025-09-30,completed,GR
83,100,Stephanie Hill,Keyboard,4,272.07,2026-06-22,,GR
84,72,Gregory Robbins,Mouse,2,690.13,2025-09-23,,
85,72,Joanne Wolfe,Headset,6,1425.56,2026-07-07,,
86,93,James Trujillo,Headset,7,1247.55,2026-05-05,,DE
87,96,Taylor Carey,Keyboard,8,396.2,2026-03-19,pending,IT
88,99,Joshua Carter,Headset,8,943.86,2026-06-17,cancelled,FR
89,10,Donald Gomez,Monitor,4,414.86,2025-11-28,cancelled,
90,11,Susan Cox,Mouse,3,354.58,2025-09-06,pending,DE
91,9,Michael Cortez,Keyboard,7,503.01,2026-04-19,,FR
92,8,Christopher Harris,Mouse,7,590.32,2025-10-03,completed,
93,49,Sandy Gray,Keyboard,1,1414.69,2026-06-06,cancelled,FR
94,54,Michael Kelly,Headset,9,1201.8,2025-07-29,pending,FR
95,29,Sean Vaughn,Monitor,7,733.61,2026-03-07,,IT
96,86,Rebecca Owens DDS,Keyboard,3,1262.35,2026-02-15,pending,
97,69,Michael Wood,Laptop,7,891.92,2026-05-27,completed,GR
98,83,Ernest Webb,Keyboard,3,1301.61,2026-03-16,pending,GR
99,34,Yolanda Merritt,Keyboard,6,325.37,2026-02-10,cancelled,IT
100,98,Ryan Phillips,Keyboard,5,1130.49,2026-07-24,,IT
101,11,Angela Christensen,Keyboard,1,1126.05,2026-03-10,completed,IT
102,29,Brian Brock,Laptop,1,1133.81,2026-06-28,pending,DE
103,3,Kimberly Long,Headset,3,365.43,2026-07-15,,GR
104,73,Melissa Bradford,Mouse,8,1052.2,2025-10-07,cancelled,DE
105,78,Justin Nielsen,Headset,2,1168.91,2025-10-06,pending,IT
106,14,Antonio Palmer,Headset,1,1394.04,2026-05-18,,FR
107,92,Cassandra Hudson,Mouse,2,892.23,2026-06-11,pending,GR
108,90,Kristin Sims,Monitor,10,1210.24,2025-11-16,completed,IT
109,69,Theodore Floyd,Keyboard,6,112.75,2025-10-03,cancelled,GR
110,54,Anthony Ayala,Keyboard,2,655.95,2025-11-06,cancelled,FR
111,91,Derrick Martin,Mouse,7,272.44,2026-02-09,cancelled,
112,69,Cassandra Anderson,Keyboard,8,659.01,2026-05-23,cancelled,IT
113,32,Sonia Carlson,Laptop,5,1323.63,2025-08-13,pending,FR
114,73,Emily Moody,Headset,7,511.23,2025-11-27,,IT
115,24,Christopher Chapman,Keyboard,4,538.69,2025-10-15,cancelled,IT
116,36,Alan Scott,Headset,5,838.13,2025-09-23,pending,GR
117,31,Eric Garcia,Keyboard,8,837.21,2025-08-25,pending,FR
118,83,Ellen Burns,Keyboard,8,1191.47,2026-05-24,completed,IT
119,29,Alyssa Calderon,Keyboard,4,466.25,2026-04-20,cancelled,FR
120,71,Melissa Lopez MD,Headset,6,644.0,2026-01-11,cancelled,IT
121,90,Aaron Patel,Keyboard,5,466.87,2026-01-26,pending,GR
122,93,Kathleen Ross,Mouse,6,188.14,2025-11-10,pending,DE
123,28,Michael Brown,Keyboard,5,1089.63,2026-02-17,cancelled,GR
124,25,Jonathan Rice,Monitor,4,547.71,2025-10-20,cancelled,GR
125,91,Sara Cummings,Headset,3,418.72,2026-07-24,completed,
126,38,Amanda Steele,Mouse,8,162.86,2025-07-28,completed,
127,37,Martin Gibbs,Keyboard,8,666.3,2025-10-03,pending,GR
128,33,Alexandra Wright,Keyboard,2,1234.95,2026-01-02,,FR
129,10,Chris Brown,Headset,1,236.07,2026-03-24,cancelled,GR
130,32,Erin Briggs,Laptop,9,1149.02,2026-02-01,pending,
131,49,Jose Horn,Keyboard,8,453.06,2025-08-25,,IT
132,73,Mary Lopez,Headset,1,918.35,2026-01-10,completed,DE
133,81,Brett Perez,Mouse,5,994.04,2026-05-13,pending,DE
134,23,Evelyn Adams,Headset,2,243.23,2026-05-05,,FR
135,89,Michael Rodriguez,Headset,8,443.98,2026-07-12,pending,IT
136,91,Brandon Page,Monitor,8,116.06,2025-12-10,pending,IT
137,81,Casey Reed,Headset,4,643.46,2025-09-16,pending,DE
